frame_idx,track_id,class_name,x1,y1,x2,y2
1640,1,car,180.4,534.1,696.4,747.3
1640,2,car,961.6,572.2,1311.6,702.8
1640,3,car,890.0,596.7,967.2,645.9
1640,4,car,824.1,589.8,900.2,637.0
1641,1,car,208.8,534.4,725.8,746.2
1641,2,car,947.9,571.1,1297.5,703.0
1641,3,car,889.8,596.0,961.4,644.1
1641,4,car,823.9,589.8,900.2,637.2
1642,1,car,236.8,534.9,757.2,747.4
1642,2,car,932.8,570.5,1285.4,702.8
1642,3,car,891.6,595.3,961.4,642.7
1642,4,car,823.9,589.8,900.4,637.2
1643,1,car,264.3,535.3,785.3,746.8
1643,2,car,921.9,570.5,1273.8,703.1
1643,3,car,895.0,596.1,965.0,642.5
1643,4,car,824.6,590.1,900.6,637.1
1644,1,car,292.0,536.6,809.2,745.1
1644,2,car,906.9,570.4,1260.3,703.3
1644,3,car,900.3,593.5,979.7,640.6
1644,4,car,823.6,590.1,901.4,637.6
1645,1,car,321.5,537.3,836.0,744.4
1645,2,car,892.6,569.8,1247.0,702.9
1645,3,car,896.5,590.7,982.1,640.5
1645,4,car,823.2,590.4,901.9,637.8
1646,1,car,348.7,538.8,861.8,743.8
1646,2,car,875.7,569.7,1233.6,702.8
1647,1,car,375.8,540.2,884.0,742.1
1647,2,car,867.1,569.0,1222.1,701.7
1648,1,car,400.5,541.1,907.1,741.5
1648,2,car,861.9,568.2,1211.3,702.3
1649,1,car,433.5,542.8,940.1,741.1
1649,2,car,861.6,567.8,1200.9,701.8
1649,5,car,385.9,562.1,517.3,648.7
1650,1,car,460.4,544.0,962.3,741.2
1650,2,car,871.7,566.7,1195.3,701.0
1650,5,car,390.8,561.5,540.7,654.5
1651,1,car,486.8,544.3,986.0,741.0
1651,2,car,874.5,565.7,1186.6,700.9
1651,5,car,390.9,563.6,541.7,655.4
1652,1,car,510.6,545.1,1007.4,740.1
1652,2,car,870.6,564.6,1173.3,700.6
1652,5,car,391.3,563.6,542.9,654.7
1653,1,car,540.4,545.7,1032.5,739.3
1653,2,car,869.0,563.5,1161.2,700.1
1653,5,car,390.2,562.7,541.5,655.0
1654,1,car,567.3,546.4,1054.4,738.6
1654,2,car,875.0,562.3,1151.4,700.1
1654,5,car,388.7,566.6,525.9,653.9
1655,1,car,595.7,546.6,1086.2,738.0
1655,2,car,918.3,562.6,1110.6,647.8
1655,5,car,388.3,567.5,521.0,653.6
1656,1,car,623.2,547.7,1105.6,738.0
1656,5,car,388.2,567.7,520.1,654.1
1656,6,car,550.4,568.9,656.5,646.0
1657,1,car,647.9,547.5,1128.2,737.5
1657,5,car,387.7,568.1,517.2,654.0
1657,6,car,552.9,569.3,664.0,646.2
1658,1,car,675.7,550.5,1148.3,736.5
1658,5,car,387.5,568.3,515.1,654.1
1658,6,car,551.1,569.7,667.8,646.8
1658,7,car,524.3,570.4,578.9,633.1
1659,1,car,700.7,551.9,1172.7,737.0
1659,5,car,387.8,568.4,513.8,653.8
1659,6,car,556.2,569.4,674.8,648.7
1659,7,car,524.6,570.3,579.4,632.8
1660,1,car,725.9,553.7,1193.4,736.2
1660,5,car,388.1,568.5,513.3,654.0
1660,6,car,554.9,569.7,669.7,646.7
1660,7,car,523.9,570.1,578.9,633.1
