frame_idx,track_id,class_name,x1,y1,x2,y2
1660,1,car,725.88,553.694,1193.392,736.187
1660,2,car,388.062,568.452,513.28,653.971
1660,3,car,554.945,569.674,669.667,646.712
1660,4,car,523.926,570.065,578.858,633.072
1661,1,car,747.639,554.343,1214.889,737.884
1661,2,car,388.762,568.312,514.029,654.038
1661,3,car,556.592,569.95,669.087,646.512
1661,4,car,524.174,569.86,578.906,633.101
1662,1,car,775.335,555.059,1239.621,737.836
1662,2,car,389.442,568.167,514.503,653.804
1662,3,car,554.123,570.151,664.996,645.995
1662,4,car,522.982,569.999,578.421,633.506
1662,5,car,626.544,561.911,882.261,700.756
1663,1,car,804.144,558.264,1260.203,737.6
1663,2,car,389.522,567.979,515.553,653.861
1663,3,car,556.535,569.137,670.082,645.164
1663,4,car,522.574,570.5,578.109,633.733
1663,5,car,617.106,559.67,887.442,699.875
1664,1,car,827.981,559.01,1279.574,735.643
1664,2,car,389.768,568.188,513.638,653.225
1664,3,car,546.57,569.082,663.701,641.246
1664,4,car,522.112,570.223,579.658,634.387
1664,5,car,607.938,556.596,906.332,701.758
1665,1,car,853.38,560.394,1299.463,734.454
1665,2,car,389.709,568.278,512.957,653.083
1665,3,car,557.639,568.346,662.729,632.687
1665,4,car,523.59,570.144,582.388,632.663
1665,5,car,593.427,556.24,904.076,702.241
1666,1,car,876.278,560.87,1322.964,735.548
1666,2,car,390.756,567.616,516.433,653.241
1666,3,car,551.976,569.634,654.197,629.78
1666,4,car,522.885,570.249,582.758,630.983
1666,5,car,573.684,554.787,899.332,702.235
1667,1,car,903.712,562.236,1343.345,734.904
1667,2,car,393.882,566.236,530.546,654.619
1667,3,car,534.267,568.563,656.002,632.771
1667,5,car,556.125,554.869,896.073,703.789
1668,1,car,924.628,562.457,1365.242,734.482
1668,2,car,393.971,564.126,536.934,653.708
1668,5,car,539.343,555.018,889.525,703.125
1669,1,car,949.495,563.696,1385.83,734.418
1669,2,car,393.532,564.185,539.326,655.062
1669,5,car,520.125,555.007,880.87,704.103
1670,1,car,969.931,564.115,1406.427,735.062
1670,2,car,392.637,563.362,540.77,655.97
1670,5,car,500.032,554.029,867.508,704.092
1670,6,car,888.487,594.791,981.418,649.681
1671,1,car,994.834,564.562,1425.539,734.384
1671,2,car,392.536,562.81,540.562,655.621
1671,5,car,478.354,552.649,850.876,704.359
1671,6,car,889.819,594.947,985.666,651.354
1672,1,car,1016.064,565.505,1443.78,734.231
1672,2,car,392.741,562.529,544.014,657.262
1672,5,car,455.171,551.894,834.228,704.316
1672,6,car,887.895,594.308,981.053,650.956
1673,1,car,1042.529,565.81,1463.753,733.049
1673,2,car,392.356,562.162,545.758,659.436
1673,5,car,432.822,551.287,816.994,704.403
1673,6,car,890.03,593.674,979.478,649.563
1674,1,car,1063.76,567.714,1482.039,732.814
1674,2,car,395.216,562.444,541.666,648.273
1674,5,car,412.577,551.262,801.864,705.346
1674,6,car,889.871,593.971,976.938,649.967
1674,7,car,962.264,597.861,1059.906,659.529
1675,1,car,1086.695,569.069,1502.535,733.716
1675,5,car,392.329,551.092,784.463,705.384
1675,6,car,890.154,593.519,976.897,650.538
1675,7,car,968.428,597.881,1074.231,660.178
1676,5,car,367.19,548.366,767.154,705.948
1676,6,car,889.916,593.034,976.835,651.241
1676,7,car,969.779,598.243,1087.12,661.731
1676,8,car,774.965,586.288,828.191,632.719
1677,5,car,347.228,548.325,753.241,706.011
1677,6,car,890.044,593.016,976.511,651.219
1677,7,car,971.56,597.974,1092.481,662.255
1677,8,car,765.796,586.13,824.652,632.774
1678,5,car,323.433,547.014,735.447,706.697
1678,6,car,889.947,593.181,976.165,651.701
1678,7,car,971.414,598.211,1094.273,663.196
1678,8,car,748.393,585.457,816.833,631.189
1679,5,car,296.245,547.899,713.577,706.362
1679,6,car,889.971,593.476,975.678,652.044
1679,7,car,971.005,598.418,1094.54,663.496
1679,8,car,753.079,585.778,827.695,631.11
1680,5,car,273.982,546.779,695.846,705.77
1680,6,car,889.897,593.045,976.07,652.437
1680,7,car,971.194,598.362,1094.683,663.788
1680,8,car,764.67,585.872,829.008,631.375
1681,5,car,252.84,547.092,677.127,705.672
1681,6,car,890.577,592.235,977.293,652.571
1681,7,car,970.348,598.226,1094.841,663.996
1681,8,car,766.642,585.73,829.334,631.415
1682,5,car,232.113,546.707,661.639,705.279
1682,6,car,892.424,592.701,977.322,652.269
1682,7,car,969.911,597.994,1095.313,663.908
1682,8,car,767.002,585.771,829.106,631.917
1683,5,car,209.979,545.112,649.096,705.621
1683,6,car,894.096,595.246,976.097,652.053
1683,7,car,969.158,598.029,1095.126,663.841
1683,8,car,767.691,586.25,828.846,631.996
1684,5,car,183.625,544.999,624.788,705.514
1684,6,car,894.928,596.409,975.563,652.157
1684,7,car,968.503,597.83,1095.146,663.651
1684,8,car,768.125,586.296,828.962,631.921
1684,9,car,593.082,569.151,674.024,644.293
1685,5,car,158.99,545.277,603.163,706.043
1685,6,car,894.729,595.001,975.226,652.196
1685,7,car,968.019,597.894,1095.244,663.548
1685,8,car,768.195,586.666,828.402,631.943
1685,9,car,586.494,567.727,672.865,645.296
1686,5,car,133.505,543.851,582.475,705.497
1686,6,car,894.865,596.061,975.215,652.562
1686,7,car,967.631,597.978,1095.341,663.229
1686,8,car,768.094,586.644,828.269,632.006
1686,9,car,581.79,569.04,671.734,645.489
1687,5,car,110.38,544.514,562.793,705.853
1687,6,car,896.122,596.769,974.873,652.18
1687,7,car,966.422,598.132,1095.402,663.227
1687,8,car,768.442,586.953,827.723,631.796
1687,9,car,580.651,569.532,672.099,646.652
1687,10,car,829.434,587.481,893.915,637.844
1688,4,car,529.379,570.57,586.784,638.584
1688,5,car,86.722,544.331,543.14,705.818
1688,6,car,898.726,596.848,976.176,652.042
1688,7,car,966.694,598.421,1095.854,663.014
1688,8,car,768.106,586.772,827.727,631.952
1688,9,car,558.371,569.402,665.522,647.275
1688,10,car,823.323,587.61,883.593,638.007
1688,11,car,0.2,614.052,72.016,728.988
1689,4,car,526.663,569.741,581.693,633.132
1689,5,car,68.326,543.954,523.907,706.195
1689,6,car,902.325,596.492,976.79,652.623
1689,7,car,965.007,598.838,1096.161,663.517
1689,8,car,768.301,586.591,827.997,632.064
1689,9,car,557.67,569.644,666.261,647.889
1689,10,car,821.466,587.284,880.263,637.992
1689,11,car,5.204,607.988,101.092,738.159
1690,4,car,522.589,570.913,581.457,633.301
1690,5,car,56.62,542.41,507.194,706.529
1690,6,car,904.221,596.572,976.067,652.372
1690,7,car,962.937,599.137,1096.419,664.015
1690,8,car,768.655,586.596,828.25,632.324
1690,9,car,558.147,569.543,667.322,648.375
1690,10,car,822.541,587.159,881.705,637.24
1690,11,car,9.457,606.643,124.795,750.624
1691,4,car,522.939,571.326,581.859,633.345
1691,5,car,20.767,538.438,484.754,705.879
1691,6,car,906.567,596.936,976.302,652.367
1691,7,car,962.24,599.191,1096.765,664.283
1691,8,car,768.904,586.715,828.857,632.314
1691,9,car,559.737,569.497,668.822,648.388
1691,10,car,823.489,587.273,883.284,636.756
1691,11,car,16.648,605.013,149.697,752.258
1692,4,car,523.724,571.784,582.353,633.42
1692,5,car,14.091,538.95,468.424,705.756
1692,6,car,908.228,596.026,977.355,652.114
1692,7,car,961.362,599.247,1096.937,664.439
1692,8,car,768.713,586.718,828.991,632.445
1692,9,car,558.116,569.498,668.808,648.486
1692,10,car,824.84,587.334,887.881,637.13
1692,11,car,20.405,588.103,177.32,753.437
1693,2,car,405.142,567.26,512.542,647.491
1693,4,car,525.348,571.942,582.939,633.442
1693,5,car,36.034,538.513,455.813,703.912
1693,6,car,909.653,597.01,977.28,652.49
1693,7,car,962.312,599.221,1097.563,664.18
1693,8,car,768.869,586.37,829.162,632.318
1693,9,car,558.642,569.502,670.071,648.039
1693,10,car,825.018,587.577,890.122,637.723
1693,11,car,24.739,572.924,205.385,752.408
1694,2,car,400.519,563.674,528.823,649.327
1694,4,car,525.536,571.986,583.248,633.673
1694,5,car,48.266,537.287,440.911,701.724
1694,6,car,911.444,596.373,978.09,652.775
1694,7,car,961.229,599.324,1097.515,664.353
1694,8,car,768.913,586.574,828.968,632.534
1694,9,car,557.387,569.637,670.126,648.245
1694,10,car,825.438,588.153,890.929,638.133
1694,11,car,28.973,564.245,231.217,751.883
1695,2,car,393.772,564.349,523.685,652.394
1695,4,car,525.302,571.534,583.31,632.987
1695,5,car,53.344,535.654,423.093,699.219
1695,6,car,918.237,597.327,974.815,652.894
1695,7,car,960.651,599.103,1097.461,664.382
1695,8,car,769.663,586.547,829.023,632.418
1695,9,car,559.272,569.673,671.161,648.471
1695,10,car,825.706,587.879,892.426,638.353
1695,11,car,33.121,557.31,256.995,750.774
1696,2,car,392.325,567.001,515.572,651.589
1696,4,car,525.51,571.589,583.228,632.401
1696,7,car,958.922,599.224,1097.12,664.231
1696,8,car,769.658,586.763,828.913,632.588
1696,9,car,558.83,569.611,671.203,648.592
1696,10,car,826.649,588.16,896.11,638.612
1696,11,car,36.563,547.669,284.861,749.942
1697,2,car,390.842,567.854,512.731,652.263
1697,4,car,525.494,571.603,583.375,632.662
1697,7,car,958.976,599.236,1097.332,664.133
1697,8,car,769.453,587.121,828.863,632.688
1697,9,car,557.649,569.526,671.482,648.738
1697,10,car,827.88,588.05,901.02,638.493
1697,11,car,40.049,545.2,308.594,748.202
1698,2,car,389.723,568.296,511.019,652.456
1698,4,car,525.267,571.679,583.392,632.737
1698,7,car,959.245,599.129,1097.91,664.15
1698,8,car,769.783,587.296,828.941,632.617
1698,9,car,557.966,569.437,671.801,648.678
1698,10,car,827.724,588.671,900.551,638.188
1698,11,car,45.059,545.286,336.244,745.986
1699,2,car,389.363,568.12,511.089,652.294
1699,4,car,523.67,570.712,582.369,633.09
1699,7,car,958.386,599.528,1097.755,663.868
1699,8,car,770.171,587.312,829.58,632.543
1699,9,car,558.716,569.396,672.421,648.805
1699,10,car,827.403,588.968,900.149,637.932
1699,11,car,47.69,546.431,359.941,746.225
1700,2,car,390.38,567.272,512.887,652.405
1700,4,car,522.709,570.216,581.909,633.306
1700,7,car,959.021,599.736,1098.151,663.831
1700,8,car,770.255,587.088,829.801,632.614
1700,9,car,559.78,569.466,673.539,648.684
1700,10,car,827.196,589.28,900.327,638.028
1700,11,car,49.98,544.093,386.317,745.527
1701,2,car,392.177,566.857,511.483,651.152
1701,4,car,522.216,570.261,581.589,633.477
1701,7,car,957.437,599.716,1097.908,663.652
1701,8,car,770.148,587.093,829.885,632.679
1701,9,car,559.163,569.436,673.804,648.772
1701,10,car,826.979,589.232,900.429,638.055
1701,11,car,52.273,543.287,412.964,745.248
1702,2,car,396.281,563.486,527.092,649.603
1702,4,car,519.795,570.346,580.886,633.627
1702,7,car,957.337,599.025,1098.481,663.721
1702,8,car,771.166,587.055,830.211,632.587
1702,9,car,558.783,569.261,673.707,648.714
1702,10,car,827.08,589.323,900.959,637.805
1702,11,car,53.819,545.546,440.325,748.989
1703,2,car,400.624,562.215,529.923,638.252
1703,4,car,512.555,569.802,579.277,634.767
1703,7,car,956.934,598.615,1098.894,663.903
1703,8,car,772.12,586.821,830.508,632.392
1703,9,car,559.492,569.389,674.332,648.21
1703,10,car,826.991,589.482,901.559,637.729
1703,11,car,55.412,545.749,468.606,751.216
1704,2,car,405.169,561.048,532.305,629.94
1704,4,car,519.445,570.629,582.525,636.222
1704,7,car,955.895,598.395,1098.99,663.972
1704,8,car,771.067,586.726,830.139,632.409
1704,9,car,557.865,569.519,674.005,648.013
1704,10,car,826.746,589.471,901.93,637.627
1704,11,car,56.741,547.721,494.073,752.332
1705,2,car,406.908,560.571,532.67,625.072
1705,4,car,524.456,570.812,583.899,635.377
1705,7,car,954.769,598.175,1099.037,664.019
1705,8,car,770.601,586.667,829.594,632.389
1705,9,car,555.027,569.555,673.48,648.03
1705,10,car,826.473,589.402,902.545,637.609
1705,11,car,58.955,549.856,519.831,750.557
1706,2,car,404.954,559.655,532.398,621.926
1706,7,car,953.803,597.535,1098.755,663.476
1706,8,car,769.576,586.417,829.293,632.44
1706,9,car,552.454,569.404,672.899,648.064
1706,10,car,826.273,589.409,902.84,637.518
1706,11,car,60.889,551.473,545.612,748.799
1707,7,car,954.125,597.486,1098.994,663.322
1707,8,car,769.221,586.318,829.332,632.374
1707,9,car,567.084,569.565,677.034,647.958
1707,10,car,826.104,589.467,903.038,637.488
1707,11,car,69.046,551.759,575.388,747.95
1708,7,car,953.4,597.433,1098.914,663.288
1708,8,car,768.715,586.115,829.347,632.321
1708,9,car,575.845,569.537,678.136,646.392
1708,10,car,826.066,589.519,903.144,637.358
1708,11,car,93.149,553.058,610.721,747.427
1709,7,car,953.297,597.625,1098.655,662.967
1709,8,car,768.739,586.083,829.356,632.385
1709,9,car,553.456,568.418,672.28,645.71
1709,10,car,825.902,589.433,903.394,637.281
1709,11,car,120.746,554.196,641.688,747.293
1710,7,car,952.247,597.074,1099.392,663.894
1710,8,car,767.968,585.679,828.281,632.23
